City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
309,Sabzevar,36.2126,57.6819,42.03,50,0,3.78,IR,2021-01-16 01:09:59,clear sky,0,0
310,Sur,22.5667,59.5289,64.17,58,0,2.13,OM,2021-01-16 01:09:59,clear sky,0,0
311,Yizheng,24.6706,103.4296,43.05,86,99,1.88,CN,2021-01-16 01:09:59,overcast clouds,0,0
312,Baijiantan,45.6333,85.1833,-3.73,88,24,3.2,CN,2021-01-16 01:09:59,few clouds,0,0
313,Celestun,20.8667,-90.4,72.21,74,100,10.94,MX,2021-01-16 01:09:59,overcast clouds,0,0
314,Bathsheba,13.2167,-59.5167,78.8,65,20,19.57,BB,2021-01-16 01:09:59,few clouds,0,0
315,Jumla,29.2747,82.1838,40.23,49,0,4.65,NP,2021-01-16 01:09:59,clear sky,0,0
316,Wageningen,51.9667,5.6667,35.01,93,90,2.3,NL,2021-01-16 01:09:59,overcast clouds,0,0
317,West Wendover,40.7391,-114.0733,35.6,51,1,1.57,US,2021-01-16 01:10:00,clear sky,0,0
318,Hilton Head Island,32.2163,-80.7526,53.01,93,75,5.75,US,2021-01-16 01:10:00,broken clouds,0,0
319,Yaqui,27.3667,-110.1667,69.8,32,1,4.61,MX,2021-01-16 01:10:00,clear sky,0,0
320,Diego De Almagro,-26.3667,-70.05,58.03,70,0,3.42,CL,2021-01-16 01:10:00,clear sky,0,0
321,Magnor,59.9511,12.1996,9.0,84,0,3.44,SE,2021-01-16 01:10:00,clear sky,0,0
322,Anicuns,-16.4611,-49.9617,69.57,94,100,2.89,BR,2021-01-16 01:10:00,overcast clouds,0,0
323,Ode,7.7899,5.7117,70.86,81,2,4.5,NG,2021-01-16 01:10:01,clear sky,0,0
324,Bogalusa,30.791,-89.8487,45.0,42,1,3.44,US,2021-01-16 01:10:01,clear sky,0,0
325,Atar,20.5169,-13.0499,63.36,25,100,14.18,MR,2021-01-16 01:10:01,overcast clouds,0,0
326,Adiake,5.2863,-3.304,80.6,89,20,4.61,CI,2021-01-16 01:10:01,few clouds,0,0
327,Touros,-5.1989,-35.4608,78.8,83,40,9.22,BR,2021-01-16 01:10:01,scattered clouds,0,0
328,Bestobe,52.4994,73.0975,10.54,87,100,9.66,KZ,2021-01-16 01:10:02,overcast clouds,0,0
329,Thunder Bay,48.4001,-89.3168,32.0,86,90,10.36,CA,2021-01-16 01:05:27,light snow,0,0
330,The Pas,53.8251,-101.2541,5.0,85,75,3.44,CA,2021-01-16 01:10:02,broken clouds,0,0
331,Rocha,-34.4833,-54.3333,71.06,84,100,15.55,UY,2021-01-16 01:09:05,moderate rain,0,0
332,Katete,-0.7818,29.7544,60.87,82,0,3.02,UG,2021-01-16 01:10:02,clear sky,0,0
333,Gazojak,41.1875,61.4036,40.64,63,0,10.2,TM,2021-01-16 01:10:02,clear sky,0,0
334,Tuatapere,-46.1333,167.6833,73.0,63,13,8.99,NZ,2021-01-16 01:10:02,few clouds,0,0
335,Port Hedland,-20.3167,118.5667,93.2,49,82,11.5,AU,2021-01-16 01:10:02,broken clouds,0,0
336,Gayeri,12.6497,0.4931,68.81,22,17,8.32,BF,2021-01-16 01:10:03,few clouds,0,0
337,Praia Da Vitoria,38.7333,-27.0667,59.0,88,20,8.5,PT,2021-01-16 01:10:03,few clouds,0,0
338,Coruripe,-10.1256,-36.1756,76.75,80,37,9.93,BR,2021-01-16 01:07:36,scattered clouds,0,0
339,Mantua,45.1667,10.7833,34.0,78,97,1.99,IT,2021-01-16 01:10:03,overcast clouds,0,0
340,Sangar,63.9242,127.4739,-47.79,77,84,2.42,RU,2021-01-16 01:10:04,broken clouds,0,0
341,Manakara,-22.1333,48.0167,76.62,92,93,2.51,MG,2021-01-16 01:10:04,overcast clouds,0,0
342,Mackay,-21.15,149.2,89.01,65,98,8.05,AU,2021-01-16 01:10:04,overcast clouds,0,0
343,San Policarpo,12.1791,125.5072,82.31,82,31,9.24,PH,2021-01-16 01:10:05,moderate rain,0,0
344,Boende,-0.2167,20.8667,71.67,84,98,3.13,CD,2021-01-16 01:10:05,overcast clouds,0,0
345,Huari,-9.3333,-77.2333,46.69,78,99,0.96,PE,2021-01-16 01:10:05,moderate rain,0,0
346,Aklavik,68.2191,-135.0107,-9.4,84,100,9.22,CA,2021-01-16 01:10:05,overcast clouds,0,0
347,Madang,-5.2246,145.7966,86.83,63,100,3.62,PG,2021-01-16 01:10:05,overcast clouds,0,0
348,Vestmannaeyjar,63.4427,-20.2734,41.61,83,100,14.7,IS,2021-01-16 01:10:06,overcast clouds,0,0
349,Ginda,30.6945,78.4932,45.54,39,0,7.4,IN,2021-01-16 01:10:06,clear sky,0,0
350,Cam Ranh,11.9214,109.1591,69.8,78,20,5.75,VN,2021-01-16 01:10:06,few clouds,0,0
351,Bambous Virieux,-20.3428,57.7575,80.01,94,40,4.61,MU,2021-01-16 01:10:06,scattered clouds,0,0
352,Ovalle,-30.5983,-71.2003,60.89,60,0,2.59,CL,2021-01-16 01:10:06,clear sky,0,0
353,Primorsko-Akhtarsk,46.0497,38.1747,31.28,93,4,18.57,RU,2021-01-16 01:10:06,clear sky,0,0
354,Pangnirtung,66.1451,-65.7125,5.63,89,100,3.47,CA,2021-01-16 01:10:06,light snow,0,0
355,Batagay,67.6333,134.6333,-34.89,81,100,1.52,RU,2021-01-16 01:10:07,overcast clouds,0,0
356,Norman Wells,65.282,-126.8329,3.2,92,90,2.3,CA,2021-01-16 01:10:07,light snow,0,0
357,Narsaq,60.9167,-46.05,23.0,50,90,5.75,GL,2021-01-16 01:10:07,overcast clouds,0,0
358,Sassandra,4.95,-6.0833,77.49,87,0,7.18,CI,2021-01-16 01:10:07,clear sky,0,0
359,Jingdezhen,29.2947,117.2079,46.42,65,44,6.46,CN,2021-01-16 01:10:07,scattered clouds,0,0
360,Terrace,54.5163,-128.6035,39.2,87,75,12.66,CA,2021-01-16 01:10:07,light snow,0,0
361,Uzhur,55.3036,89.8339,0.12,89,100,3.83,RU,2021-01-16 01:10:07,overcast clouds,0,0
362,Luanda,-8.8368,13.2343,77.0,83,75,2.3,AO,2021-01-16 01:06:12,broken clouds,0,0
363,Roma,43.2128,-75.4557,37.4,75,90,13.8,US,2021-01-16 01:07:02,overcast clouds,0,0
